id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
62,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,1874222,ORANG,2015
61,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,4334,ORANG,2015
116,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,671858,ORANG,2016
115,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,4983,ORANG,2016
170,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,1650983,ORANG,2017
169,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,4934,ORANG,2017
219,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,2719174,ORANG,2018
251,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,2850534,ORANG,2019
250,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,1275,ORANG,2019
305,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,1907007,ORANG,2020
304,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,94,ORANG,2020
359,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,357324,ORANG,2021
358,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,0,ORANG,2021
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,728209,ORANG,2014
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,3457,ORANG,2014
64,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,1470613,ORANG,2015
63,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,7638,ORANG,2015
118,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,505570,ORANG,2016
117,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,1362,ORANG,2016
172,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,325507,ORANG,2017
171,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,703,ORANG,2017
220,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,1418679,ORANG,2018
253,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,1446239,ORANG,2019
252,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,3075,ORANG,2019
307,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,658170,ORANG,2020
306,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,134,ORANG,2020
361,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,590906,ORANG,2021
360,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,2,ORANG,2021
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,1074775,ORANG,2014
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,6563,ORANG,2014
66,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,169696,ORANG,2015
65,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,7,ORANG,2015
120,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,126022,ORANG,2016
119,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,0,ORANG,2016
174,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,338310,ORANG,2017
173,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,0,ORANG,2017
221,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,1347895,ORANG,2018
255,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,697782,ORANG,2019
254,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,35,ORANG,2019
309,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,616643,ORANG,2020
308,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,2,ORANG,2020
363,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,701269,ORANG,2021
362,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,4,ORANG,2021
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,812730,ORANG,2014
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,49,ORANG,2014
68,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,1189102,ORANG,2015
67,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,116,ORANG,2015
122,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,1189102,ORANG,2016
121,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,116,ORANG,2016
176,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,197822,ORANG,2017
175,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,784,ORANG,2017
222,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,1974591,ORANG,2018
257,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,358896,ORANG,2019
256,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,15,ORANG,2019
311,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,1270547,ORANG,2020
310,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,27,ORANG,2020
365,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,2215601,ORANG,2021
364,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,20,ORANG,2021
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,644224,ORANG,2014
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,0,ORANG,2014
70,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,644224,ORANG,2015
69,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,0,ORANG,2015
124,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,644224,ORANG,2016
123,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,0,ORANG,2016
178,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,108463,ORANG,2017
177,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,0,ORANG,2017
223,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,1187576,ORANG,2018
259,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,260342,ORANG,2019
258,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,15,ORANG,2019
313,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,352426,ORANG,2020
312,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,0,ORANG,2020
367,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,246466,ORANG,2021
366,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,0,ORANG,2021
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,135560,ORANG,2014
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,10,ORANG,2014
72,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,71353,ORANG,2015
71,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,0,ORANG,2015
126,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,443001,ORANG,2016
125,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,1500,ORANG,2016
180,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,200226,ORANG,2017
179,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,0,ORANG,2017
224,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,230591,ORANG,2018
261,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,699787,ORANG,2019
260,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,1548,ORANG,2019
315,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,375000,ORANG,2020
314,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,0,ORANG,2020
369,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,472906,ORANG,2021
368,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,0,ORANG,2021
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,512722,ORANG,2014
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,9858,ORANG,2014
74,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,503212,ORANG,2015
73,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,9884,ORANG,2015
128,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,992315,ORANG,2016
127,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,18637,ORANG,2016
182,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,427132,ORANG,2017
181,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,352,ORANG,2017
225,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,428200,ORANG,2018
263,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,175945,ORANG,2019
262,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,0,ORANG,2019
317,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,248080,ORANG,2020
316,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,9,ORANG,2020
371,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,648004,ORANG,2021
370,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,0,ORANG,2021
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,498362,ORANG,2014
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,0,ORANG,2014
76,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,498362,ORANG,2015
75,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,0,ORANG,2015
130,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,111703,ORANG,2016
129,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,0,ORANG,2016
184,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,318239,ORANG,2017
183,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,0,ORANG,2017
226,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,789742,ORANG,2018
265,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,1430035,ORANG,2019
264,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,37,ORANG,2019
319,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,210344,ORANG,2020
318,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,22,ORANG,2020
373,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,411913,ORANG,2021
372,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,5,ORANG,2021
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,3227988,ORANG,2014
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,170274,ORANG,2014
78,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,3227988,ORANG,2015
77,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,170274,ORANG,2015
132,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,3477300,ORANG,2016
131,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,748972,ORANG,2016
186,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,176254,ORANG,2017
185,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,4621,ORANG,2017
227,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,3801603,ORANG,2018
267,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,1080895,ORANG,2019
266,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,0,ORANG,2019
321,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,310977,ORANG,2020
320,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,1086,ORANG,2020
375,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,3176632,ORANG,2021
374,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,0,ORANG,2021
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,156937,ORANG,2014
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,56,ORANG,2014
80,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,996268,ORANG,2015
79,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,973,ORANG,2015
134,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,1957194,ORANG,2016
133,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,2782,ORANG,2016
188,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,5436456,ORANG,2017
187,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,435342,ORANG,2017
228,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,5755896,ORANG,2018
269,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,2080581,ORANG,2019
268,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,713,ORANG,2019
323,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,845333,ORANG,2020
322,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,154,ORANG,2020
377,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,685269,ORANG,2021
376,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,49,ORANG,2021
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,176750,ORANG,2014
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,0,ORANG,2014
82,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,4306641,ORANG,2015
81,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,499,ORANG,2015
136,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,4574411,ORANG,2016
135,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,649,ORANG,2016
190,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,6390906,ORANG,2017
189,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,6,ORANG,2017
229,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,6390906,ORANG,2018
271,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,9452760,ORANG,2019
270,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,1126,ORANG,2019
325,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,1426983,ORANG,2020
324,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,92,ORANG,2020
379,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,1800393,ORANG,2021
378,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,0,ORANG,2021
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,49740,ORANG,2014
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,0,ORANG,2014
84,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,49740,ORANG,2015
83,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,0,ORANG,2015
138,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,49740,ORANG,2016
137,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,0,ORANG,2016
192,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,49740,ORANG,2017
191,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,0,ORANG,2017
230,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,45274,ORANG,2018
273,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,11679,ORANG,2019
272,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,3,ORANG,2019
327,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,127500,ORANG,2020
326,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,0,ORANG,2020
381,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,1730651,ORANG,2021
380,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,0,ORANG,2021
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,1278179,ORANG,2014
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,278027,ORANG,2014
86,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,1278179,ORANG,2015
85,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,278027,ORANG,2015
140,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,1289657,ORANG,2016
139,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,278027,ORANG,2016
194,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,1405920,ORANG,2017
193,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,480531,ORANG,2017
231,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,13701916,ORANG,2018
275,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,5339819,ORANG,2019
274,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,100339,ORANG,2019
329,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,3440529,ORANG,2020
328,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,23431,ORANG,2020
383,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,2202146,ORANG,2021
382,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,0,ORANG,2021
88,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,0,ORANG,2015
87,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,0,ORANG,2015
142,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,1824367,ORANG,2016
141,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,10344,ORANG,2016
196,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,2528273,ORANG,2017
195,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,8689,ORANG,2017
