id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_usaha,satuan,tahun,jenis_jasa
31,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2015,jasa konsultan pariwisata
58,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2016,jasa informasi
58,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2016,jasa konsultan pariwisata
85,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2017,jasa informasi
85,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2017,jasa konsultan pariwisata
112,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2018,jasa informasi
112,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2018,jasa konsultan pariwisata
139,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2019,jasa informasi
139,32,JAWA BARAT,3205,KABUPATEN GARUT,3,UNIT,2019,jasa konsultan pariwisata
169,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2020,jasa informasi
166,32,JAWA BARAT,3205,KABUPATEN GARUT,3,UNIT,2020,jasa konsultan pariwisata
193,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2021,jasa informasi
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,UNIT,2014,jasa informasi
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,UNIT,2014,jasa konsultan pariwisata
32,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,UNIT,2015,jasa informasi
32,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,UNIT,2015,jasa konsultan pariwisata
59,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,UNIT,2016,jasa informasi
59,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,UNIT,2016,jasa konsultan pariwisata
86,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,UNIT,2017,jasa informasi
86,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,UNIT,2017,jasa konsultan pariwisata
113,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,UNIT,2018,jasa informasi
113,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,UNIT,2018,jasa konsultan pariwisata
140,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,UNIT,2019,jasa informasi
140,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,UNIT,2019,jasa konsultan pariwisata
179,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,UNIT,2020,jasa informasi
167,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,UNIT,2020,jasa konsultan pariwisata
194,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,UNIT,2021,jasa informasi
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT,2014,jasa informasi
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT,2014,jasa konsultan pariwisata
33,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT,2015,jasa informasi
33,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT,2015,jasa konsultan pariwisata
60,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT,2016,jasa informasi
60,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT,2016,jasa konsultan pariwisata
87,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT,2017,jasa informasi
87,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT,2017,jasa konsultan pariwisata
114,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT,2018,jasa informasi
114,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT,2018,jasa konsultan pariwisata
141,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT,2019,jasa informasi
141,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT,2019,jasa konsultan pariwisata
166,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT,2020,jasa informasi
168,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT,2020,jasa konsultan pariwisata
195,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT,2021,jasa informasi
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,UNIT,2014,jasa informasi
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,UNIT,2014,jasa konsultan pariwisata
34,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,UNIT,2015,jasa informasi
34,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,UNIT,2015,jasa konsultan pariwisata
61,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,UNIT,2016,jasa informasi
61,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,UNIT,2016,jasa konsultan pariwisata
88,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,UNIT,2017,jasa informasi
88,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,UNIT,2017,jasa konsultan pariwisata
115,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11,UNIT,2018,jasa informasi
115,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,UNIT,2018,jasa konsultan pariwisata
142,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,UNIT,2019,jasa informasi
142,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,UNIT,2019,jasa konsultan pariwisata
172,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,UNIT,2020,jasa informasi
169,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,UNIT,2020,jasa konsultan pariwisata
196,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,UNIT,2021,jasa informasi
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT,2014,jasa informasi
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT,2014,jasa konsultan pariwisata
35,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT,2015,jasa informasi
35,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT,2015,jasa konsultan pariwisata
62,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT,2016,jasa informasi
62,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT,2016,jasa konsultan pariwisata
89,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT,2017,jasa informasi
89,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT,2017,jasa konsultan pariwisata
116,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT,2018,jasa informasi
116,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT,2018,jasa konsultan pariwisata
143,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT,2019,jasa informasi
143,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT,2019,jasa konsultan pariwisata
168,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT,2020,jasa informasi
170,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT,2020,jasa konsultan pariwisata
