kode_kabupaten_kota,nama_kabupaten_kota,jumlah,jenis_akomodasi,tahun
3276,KOTA DEPOK,1,HOTEL,2015
3276,KOTA DEPOK,1,PERKEMAHAN,2015
3276,KOTA DEPOK,3,HOTEL,2016
3276,KOTA DEPOK,0,PERKEMAHAN,2016
3276,KOTA DEPOK,3,HOTEL,2017
3276,KOTA DEPOK,0,PERKEMAHAN,2017
3276,KOTA DEPOK,0,HOTEL,2018
3276,KOTA DEPOK,0,HOMESTAY,2018
3276,KOTA DEPOK,0,PERKEMAHAN,2018
3276,KOTA DEPOK,9,HOTEL,2019
3276,KOTA DEPOK,1,HOMESTAY,2019
3276,KOTA DEPOK,0,PERKEMAHAN,2019
3276,KOTA DEPOK,8,HOTEL,2020
3276,KOTA DEPOK,1,HOMESTAY,2020
3276,KOTA DEPOK,0,PERKEMAHAN,2020
3276,KOTA DEPOK,8,HOTEL,2021
3276,KOTA DEPOK,0,HOMESTAY,2021
3276,KOTA DEPOK,0,PERKEMAHAN,2021
3277,KOTA CIMAHI,0,HOTEL,2014
3277,KOTA CIMAHI,0,PERKEMAHAN,2014
3277,KOTA CIMAHI,0,HOTEL,2015
3277,KOTA CIMAHI,0,PERKEMAHAN,2015
3277,KOTA CIMAHI,1,HOTEL,2016
3277,KOTA CIMAHI,0,PERKEMAHAN,2016
3277,KOTA CIMAHI,1,HOTEL,2017
3277,KOTA CIMAHI,0,PERKEMAHAN,2017
3277,KOTA CIMAHI,8,HOTEL,2018
3277,KOTA CIMAHI,15,HOMESTAY,2018
3277,KOTA CIMAHI,1,PERKEMAHAN,2018
3277,KOTA CIMAHI,8,HOTEL,2019
3277,KOTA CIMAHI,18,HOMESTAY,2019
3277,KOTA CIMAHI,1,PERKEMAHAN,2019
3277,KOTA CIMAHI,8,HOTEL,2020
3277,KOTA CIMAHI,20,HOMESTAY,2020
3277,KOTA CIMAHI,1,PERKEMAHAN,2020
3277,KOTA CIMAHI,7,HOTEL,2021
3277,KOTA CIMAHI,20,HOMESTAY,2021
3277,KOTA CIMAHI,1,PERKEMAHAN,2021
3278,KOTA TASIKMALAYA,5,HOTEL,2014
3278,KOTA TASIKMALAYA,2,PERKEMAHAN,2014
3278,KOTA TASIKMALAYA,5,HOTEL,2015
3278,KOTA TASIKMALAYA,2,PERKEMAHAN,2015
3278,KOTA TASIKMALAYA,8,HOTEL,2016
3278,KOTA TASIKMALAYA,3,PERKEMAHAN,2016
3278,KOTA TASIKMALAYA,8,HOTEL,2017
3278,KOTA TASIKMALAYA,3,PERKEMAHAN,2017
3278,KOTA TASIKMALAYA,43,HOTEL,2018
3278,KOTA TASIKMALAYA,5,HOMESTAY,2018
3278,KOTA TASIKMALAYA,0,PERKEMAHAN,2018
3278,KOTA TASIKMALAYA,34,HOTEL,2019
3278,KOTA TASIKMALAYA,0,HOMESTAY,2019
3278,KOTA TASIKMALAYA,0,PERKEMAHAN,2019
3278,KOTA TASIKMALAYA,34,HOTEL,2020
3278,KOTA TASIKMALAYA,5,HOMESTAY,2020
3278,KOTA TASIKMALAYA,1,PERKEMAHAN,2020
3278,KOTA TASIKMALAYA,34,HOTEL,2021
3278,KOTA TASIKMALAYA,5,HOMESTAY,2021
3278,KOTA TASIKMALAYA,1,PERKEMAHAN,2021
3279,KOTA BANJAR,0,HOTEL,2014
3279,KOTA BANJAR,0,PERKEMAHAN,2014
3279,KOTA BANJAR,0,HOTEL,2015
3279,KOTA BANJAR,0,PERKEMAHAN,2015
3279,KOTA BANJAR,0,HOTEL,2016
3279,KOTA BANJAR,0,PERKEMAHAN,2016
3279,KOTA BANJAR,0,HOTEL,2017
3279,KOTA BANJAR,0,PERKEMAHAN,2017
3279,KOTA BANJAR,0,HOTEL,2018
3279,KOTA BANJAR,0,HOMESTAY,2018
3279,KOTA BANJAR,0,PERKEMAHAN,2018
3279,KOTA BANJAR,12,HOTEL,2019
3279,KOTA BANJAR,0,HOMESTAY,2019
3279,KOTA BANJAR,0,PERKEMAHAN,2019
3279,KOTA BANJAR,11,HOTEL,2020
3279,KOTA BANJAR,0,HOMESTAY,2020
3279,KOTA BANJAR,0,PERKEMAHAN,2020
3279,KOTA BANJAR,13,HOTEL,2021
3279,KOTA BANJAR,0,HOMESTAY,2021
3279,KOTA BANJAR,0,PERKEMAHAN,2021
